AId,ANo,BId,GId
73128,822421,442876,0
73409,823574,155142,4
73433,824360,566959,1
74126,824877,735518,0
74242,8060295,314481,2402
74265,813050,25697,0
74602,1368381,733660,5
74655,7565948,18528,278
74701,827280,257427,25
74833,822278,630538,1
74995,828544,571808,12
75099,8700839,588260,2
75320,824455,638631,1
75639,1315214,458975,1
76475,824240,355170,2
77037,836692,129559,1
77646,868997,445478,0
77669,869214,238817,0
77832,873239,736986,0
77955,830713,169524,0
78128,838218,693219,103
78664,3345210,693325,363
78899,868034,539190,0
78983,868802,681593,0
79003,868970,569558,0
79025,869205,163577,0
79047,869370,424963,0
79059,869455,116933,0
79065,869491,586512,0
79072,869555,328629,0
79301,834633,427334,0
79600,865839,370178,0
79711,868143,368671,0
79910,869832,545632,0
79994,873259,580729,0
80168,8061630,321999,1
80189,865731,531973,0
80308,868082,724719,0
80434,869193,401068,0
80556,872776,177745,0
80657,7982770,463419,0
80804,856197,693095,11
80979,866400,532311,0
81007,867938,6964,0
81175,869442,722782,0
81521,868526,492381,0
81755,873236,88507,0
82055,826115,25889,0
82424,1325701,721396,4
82629,873837,129244,0
83473,895537,730328,0
83569,926202,156995,4
83789,5605035,18450,200
83975,829067,724574,0
84173,1306998,266813,13
84215,964007,458381,5
84290,7343624,424580,23
84563,2931213,714147,38
84969,1374559,551069,302
84992,904975,545816,2
85138,8063530,402065,6
85317,9779583,105400,103
85427,747659,10396,4
85452,823953,298630,79
85467,825632,298723,173
86017,1061836,240829,20
86083,944005,285515,2
86268,1160248,276108,0
86390,1331459,732184,28
86434,1002414,181812,2
86547,1090115,494957,32
86582,1047356,229655,6
86658,2707022,714172,62
86818,825261,298698,148
87379,3459065,575176,23
87647,7960528,229765,128
87861,1365712,140292,26
88053,2645384,54549,5
88919,1461207,473118,63
88990,1365947,105363,66
88991,1365952,105368,71
89268,2898368,196578,2
89509,1365916,105332,35
89809,1331743,762562,35
89881,1679816,203280,102
90311,2631714,387131,0
90541,1170892,799773,103
90557,7586423,7917,18
90646,1331481,732204,48
90965,3220549,280305,105
91116,1699187,462218,2
91177,2715458,38414,0
91638,7986560,704181,380
91833,7986330,704181,150
91921,7987057,704181,877
91922,7987059,704181,879
92374,7986515,704180,335
92429,7986000,48066,123
92658,3389722,492979,117
93702,6156535,268246,19
93775,7955265,563335,1231
93893,7996645,564886,2792
93921,7997966,360143,15
94156,6657320,50963,40
94278,7349287,677500,4889
94724,7350258,226792,55
94756,7357510,470398,3
94839,7956303,203459,5
94986,7956902,684869,4
95022,8009431,494585,2
95122,7957821,219456,2
95284,8021763,625399,14
95302,6893870,345043,2
95755,7987183,704181,1003
95853,7956520,701990,2
95889,8006639,287996,2
96339,7998174,243828,96
96763,7356561,27044,5
96869,8003703,190131,2
96947,8006645,310628,2
97098,7955798,563725,1621
97296,7347598,675870,3259
97299,7347628,675900,3289
97319,7347789,676055,3444
97360,6156547,268246,31
97810,7348791,677026,4415
98001,8003653,233251,10
98035,8003885,148809,2
98210,7957734,473922,2
98360,8018727,463177,2
98437,7347922,676186,3575
98439,7347979,676243,3632
98781,7349298,677509,4898
98996,7956679,149194,4
99094,7957109,171458,24
99279,7958477,434667,5
99306,8018686,574279,3
99325,7958754,151496,2
99796,7957312,759335,325
100066,8021973,299620,2
100112,6147375,9234,3
100359,7342815,533772,5
100617,7348992,677219,4608
101009,8012401,65274,4
101273,7959642,685111,2
101290,9776954,715913,163
101982,823830,581402,2
102330,7959983,170419,2
102371,7961719,37381,9
102584,8025080,685802,4
103084,823480,439854,0
103270,8436543,202488,0
103409,886034,530223,10
103578,744247,761288,18
103617,682276,37055,3
103655,682124,635840,2
104507,869340,453763,0
104528,869521,103900,0
104554,869722,718066,0
105193,8028837,211001,240
105336,8029020,211150,389
105390,3175569,718488,62
105790,712518,270404,119
105864,715409,4190,0
106124,1046628,332582,33
106128,1047755,332616,67
106376,724450,324491,394
106393,724582,324623,526
106539,8058316,326030,1934
107114,822246,694444,613
107195,873292,694980,1516
107373,756523,461278,14
107508,1229530,695137,1754
107607,862224,392958,174
107627,755666,334184,8
107781,698181,383871,5
107837,8029580,274611,507
107964,704197,555646,0
108061,715906,724148,4
108213,724832,324873,776
108379,1088853,110531,43
108399,810898,283267,30
108514,822900,694502,719
108823,712485,270434,149
108897,715527,205811,12
109108,894966,325230,1134
109386,835125,694924,1451
109521,753276,721248,0
109581,1058912,312301,27
109644,824023,694593,856
109747,1230154,695294,1943
109811,752744,392886,80
110101,907506,328481,38
110266,703146,432541,5
110604,8057777,325504,1408
111197,7962513,739531,254
111298,7962508,739526,249
111556,7964485,741501,2224
111725,8031687,742830,3553
111922,7963419,740437,1160
111954,7963683,740701,1424
112073,8030503,741646,2369
112185,8031403,742546,3269
112370,8030271,361342,54
112375,8030288,395651,12
112460,7962787,739805,528
112513,8033132,744259,4982
112726,8034840,745962,6685
113115,7963322,740340,1063
113159,7962757,739775,498
113216,7963225,740243,966
