,Unnamed: 0,hourBeginning,Actual_MW,zone,zone_short,load_type,zone_loadtype,WT_Fcst_MW,QA_Fcst_MW
160,160,2020-05-07 12:00:00-04:00,476.756,4004,CT,CI,CT_CI,563.73,614.132806245451
161,161,2020-05-07 13:00:00-04:00,469.346,4004,CT,CI,CT_CI,564.29,617.0394362850941
162,162,2020-05-07 14:00:00-04:00,463.088,4004,CT,CI,CT_CI,556.57,609.358702928848
163,163,2020-05-07 15:00:00-04:00,447.521,4004,CT,CI,CT_CI,534.53,598.8340635251869
164,164,2020-05-07 22:00:00-04:00,369.113,4004,CT,CI,CT_CI,393.97,452.605958644298
165,165,2020-05-07 16:00:00-04:00,439.629,4004,CT,CI,CT_CI,527.37,581.519776846598
166,166,2020-05-07 17:00:00-04:00,439.135,4004,CT,CI,CT_CI,504.51,558.6372451122099
167,167,2020-05-07 21:00:00-04:00,392.682,4004,CT,CI,CT_CI,426.67,478.3120301937821
168,168,2020-05-08 23:00:00-04:00,354.614,4004,CT,CI,CT_CI,364.29,415.101607449407
169,169,2020-05-08 01:00:00-04:00,353.648,4004,CT,CI,CT_CI,376.25,394.491423304296
170,170,2020-05-08 19:00:00-04:00,426.958,4004,CT,CI,CT_CI,454.73,488.295909939908
171,171,2020-05-08 18:00:00-04:00,439.822,4004,CT,CI,CT_CI,462.44,515.730596735558
172,172,2020-05-08 17:00:00-04:00,463.972,4004,CT,CI,CT_CI,475.1,544.8055584347969
173,173,2020-05-08 16:00:00-04:00,473.113,4004,CT,CI,CT_CI,476.11,566.646769003167
174,174,2020-05-08 15:00:00-04:00,488.441,4004,CT,CI,CT_CI,490.18,583.212658122414
175,175,2020-05-08 14:00:00-04:00,506.469,4004,CT,CI,CT_CI,485.76,596.730448101838
176,176,2020-05-08 13:00:00-04:00,501.723,4004,CT,CI,CT_CI,498.44,604.123901490156
177,177,2020-05-08 12:00:00-04:00,489.797,4004,CT,CI,CT_CI,487.97,604.596416567035
178,178,2020-05-08 11:00:00-04:00,479.393,4004,CT,CI,CT_CI,487.94,603.660168609881
179,179,2020-05-08 09:00:00-04:00,456.582,4004,CT,CI,CT_CI,477.84,561.00908670096
180,180,2020-05-08 08:00:00-04:00,431.959,4004,CT,CI,CT_CI,467.16,519.074091987345
181,181,2020-05-08 07:00:00-04:00,410.367,4004,CT,CI,CT_CI,459.38,472.85500129744497
182,182,2020-05-08 06:00:00-04:00,405.163,4004,CT,CI,CT_CI,439.29,426.412124423319
183,183,2020-05-08 05:00:00-04:00,375.871,4004,CT,CI,CT_CI,399.7,400.344603469406
184,184,2020-05-08 04:00:00-04:00,358.107,4004,CT,CI,CT_CI,386.95,389.13806099373
185,185,2020-05-08 03:00:00-04:00,355.909,4004,CT,CI,CT_CI,380.3,383.73195712301606
186,186,2020-05-08 02:00:00-04:00,353.592,4004,CT,CI,CT_CI,377.5,385.829529373519
187,187,2020-05-08 00:00:00-04:00,354.719,4004,CT,CI,CT_CI,376.06,406.495171135481
188,188,2020-05-08 10:00:00-04:00,468.501,4004,CT,CI,CT_CI,484.38,591.5712735954941
189,189,2020-05-08 20:00:00-04:00,416.053,4004,CT,CI,CT_CI,429.77,479.67638125912407
190,190,2020-05-08 21:00:00-04:00,388.616,4004,CT,CI,CT_CI,399.76,466.377290045355
191,191,2020-05-08 22:00:00-04:00,367.543,4004,CT,CI,CT_CI,378.82,441.012245717576
192,192,2020-05-09 22:00:00-04:00,342.428,4004,CT,CI,CT_CI,352.04,396.42726733565206
193,193,2020-05-09 21:00:00-04:00,367.239,4004,CT,CI,CT_CI,370.56,411.472414049871
194,194,2020-05-09 20:00:00-04:00,380.196,4004,CT,CI,CT_CI,381.72,409.657930347069
195,195,2020-05-09 19:00:00-04:00,364.53,4004,CT,CI,CT_CI,368.01,400.327405025988
196,196,2020-05-09 18:00:00-04:00,361.933,4004,CT,CI,CT_CI,376.09,403.431748916391
197,197,2020-05-09 17:00:00-04:00,359.446,4004,CT,CI,CT_CI,374.65,403.80433223746
198,198,2020-05-09 16:00:00-04:00,346.432,4004,CT,CI,CT_CI,366.41,404.752177822788
199,199,2020-05-09 15:00:00-04:00,342.01,4004,CT,CI,CT_CI,353.22,408.04170705922303
200,200,2020-05-09 14:00:00-04:00,340.313,4004,CT,CI,CT_CI,351.16,415.034172220744
201,201,2020-05-09 13:00:00-04:00,342.287,4004,CT,CI,CT_CI,341.47,422.04661434401896
202,202,2020-05-09 12:00:00-04:00,349.412,4004,CT,CI,CT_CI,336.88,430.87993134283096
203,203,2020-05-09 11:00:00-04:00,345.445,4004,CT,CI,CT_CI,337.96,432.29567012720696
204,204,2020-05-09 09:00:00-04:00,345.461,4004,CT,CI,CT_CI,354.27,412.819907507875
205,205,2020-05-09 08:00:00-04:00,356.073,4004,CT,CI,CT_CI,352.98,396.365668012792
206,206,2020-05-09 07:00:00-04:00,367.578,4004,CT,CI,CT_CI,370.1,383.309253842158
207,207,2020-05-09 06:00:00-04:00,381.518,4004,CT,CI,CT_CI,378.24,372.569665406346
208,208,2020-05-09 05:00:00-04:00,379.223,4004,CT,CI,CT_CI,376.56,369.120771590186
209,209,2020-05-09 04:00:00-04:00,372.576,4004,CT,CI,CT_CI,367.77,371.816375977464
210,210,2020-05-09 03:00:00-04:00,367.062,4004,CT,CI,CT_CI,363.31,372.988819155279
211,211,2020-05-09 02:00:00-04:00,361.438,4004,CT,CI,CT_CI,363.73,376.234270868964
